colony_id,partner,site,species,AFDW.mg.cm2,timepoint,DW.mg.cm2
POR-240,Host,site2,Porites,4.67267561974275,timepoint4,623.2310904376895
POR-240,Sym,site2,Porites,-647.6847595143432,timepoint4,106.10867553165846
POR-242,Host,site2,Porites,NA,timepoint4,NA
POR-242,Sym,site2,Porites,NA,timepoint4,NA
POR-245,Host,site2,Porites,5.582016342565689,timepoint4,343.6289260483452
POR-245,Sym,site2,Porites,3.663198224808779,timepoint4,398.4861916549097
POR-251,Host,site2,Porites,4.40994101083254,timepoint4,346.71555636623356
POR-251,Sym,site2,Porites,1.9266732571598597,timepoint4,621.4056441356413
POR-253,Host,site2,Porites,4.965932424298503,timepoint4,312.70094481005736
POR-253,Sym,site2,Porites,1.9099740093454847,timepoint4,554.3699562125528
POR-260,Host,site2,Porites,5.264408325965764,timepoint4,287.7634509765875
POR-260,Sym,site2,Porites,3.948306244474417,timepoint4,352.21614670535195
POR-262,Host,site2,Porites,3.8801249162064044,timepoint4,227.39797775344041
POR-262,Sym,site2,Porites,2.867610567634303,timepoint4,411.2365969585197
POR-338,Sym,site3,Porites,5.140085352487932,timepoint4,594.824926731482
POR-340,Host,site3,Porites,12.095304072620468,timepoint4,667.2759342245146
POR-340,Sym,site3,Porites,4.192122434260417,timepoint4,780.215836002607
POR-341,Host,site3,Porites,7.2569607048930145,timepoint4,385.8338836311891
POR-341,Sym,site3,Porites,5.418092833969931,timepoint4,475.6428769700233
POR-349,Host,site3,Porites,6.137755386294068,timepoint4,350.7037072876746
POR-349,Sym,site3,Porites,4.955723547546051,timepoint4,434.12138276503515
POR-353,Host,site3,Porites,NA,timepoint4,NA
POR-353,Sym,site3,Porites,NA,timepoint4,NA
POR-354,Host,site3,Porites,5.780540445844123,timepoint4,271.4837541949341
POR-354,Sym,site3,Porites,3.920909217142334,timepoint4,326.3036663494653
POR-357,Host,site3,Porites,5.544123950005107,timepoint4,295.79244563220703
POR-357,Sym,site3,Porites,3.846693930069571,timepoint4,350.2933821715737
POR-362,Host,site3,Porites,8.6230714592556,timepoint4,684.1921798234536
POR-362,Sym,site3,Porites,6.567239853075579,timepoint4,817.2644464984893
POR-365,Host,site3,Porites,NA,timepoint4,NA
POR-365,Sym,site3,Porites,NA,timepoint4,NA
POR-367,Host,site3,Porites,5.802720447706777,timepoint4,527.9596407345323
POR-367,Sym,site3,Porites,3.02225023318067,timepoint4,632.3096987856228
